fecha;emisor;valor;valor_nominal_usd;precio_usd;numero_acciones;valor_efectivo_usd;procedencia
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
10/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.16;100;216.00;G
11/01/2023;RETRATOREC S.A.;ACCIONES;1.00;3.91;13642;53340.22;G
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;697;1498.55;G
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;395;849.25;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
