fecha;emisor;porcentaje_precio;valor_nominal_usd;valor_efectivo_usd;fecha_emision;fecha_vencimiento;porcentaje_rendimiento;procedencia;observaciones
09/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.2129;10859.70;10339.84;09/01/2023;08/07/2023;10.00;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
11/01/2023;PROTECALEMAN REPRESENTACIONES QUIM S A;96.4798;12526.87;12085.90;03/01/2023;02/06/2023;9.25;Q;ACEPTANTE: AGRICOLA BRIONES BARRAGAN AGRIBBA S.A. - RUC: 0992988525001                                                                                
11/01/2023;HIVIMAR SA;97.4896;13624.65;13282.62;23/12/2022;22/04/2023;9.00;Q;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
11/01/2023;PABLO GUILLEN CORDOVA CIA LTDA;97.4421;8139.53;7931.33;27/12/2022;26/04/2023;9.00;Q;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
11/01/2023;INDUSTRIAL GEMINIS INDUGEM S.A;98.7898;11518.20;11378.81;03/10/2022;02/03/2023;9.00;Q;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
11/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.3516;32293.69;30792.55;11/01/2023;10/07/2023;9.75;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
11/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.4654;19001.08;18139.46;11/01/2023;10/07/2023;9.50;Q;ACEPTANTE: TOLKIEN S.A. - RUC: 0992645652001                                                                                                          
11/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.3516;16200.48;15447.42;11/01/2023;10/07/2023;9.75;Q;ACEPTANTE: TOLKIEN S.A. - RUC: 0992645652001                                                                                                          
11/01/2023;PRODUCTORA CARTONERA S.A.;95.6938;49999.89;47846.78;11/01/2023;10/07/2023;9.00;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
11/01/2023;ROQUIMIM SA;97.5848;2586.26;2523.80;21/12/2022;20/04/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
11/01/2023;ELECTRICA HAMT COMPAÑIA LIMITADA;97.2999;1327.79;1291.94;02/12/2022;01/05/2023;9.00;G;ACEPTANTE: REPAPERS RECICLAJE DEL ECUADOR S.A. - RUC 0992800623001                                                                                    
12/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.2633;9405.41;8959.90;11/01/2023;10/07/2023;10.00;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
12/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.3516;24000.81;22885.16;12/01/2023;11/07/2023;9.75;Q;ACEPTANTE: TOLKIEN S.A. - RUC: 0992645652001                                                                                                          
